256 256
120.959 149.067 90.3323
120.466 149.053 90.2654
119.976 149.044 90.2058
119.488 149.043 90.1565
119.002 149.053 90.1198
118.518 149.075 90.0973
118.037 149.109 90.0897
117.557 149.157 90.0973
117.079 149.217 90.1195
116.603 149.288 90.1558
116.128 149.37 90.2046
115.654 149.461 90.2645
115.18 149.557 90.3335
114.708 149.658 90.4094
114.236 149.761 90.49
113.764 149.863 90.5728
113.292 149.962 90.6554
112.819 150.055 90.7355
112.346 150.139 90.8109
111.872 150.213 90.8793
111.397 150.275 90.939
110.921 150.324 90.9885
110.443 150.357 91.0266
109.963 150.375 91.0526
109.482 150.377 91.0662
108.998 150.364 91.068
108.512 150.337 91.0589
108.024 150.298 91.0406
107.534 150.25 91.0157
107.041 150.197 90.9874
106.546 150.144 90.9602
106.048 150.095 90.9392
105.548 150.059 90.9307
105.046 150.043 90.9421
104.542 150.057 90.982
104.036 150.112 91.0602
103.529 150.219 91.1879
103.02 150.392 91.3775
102.51 150.647 91.6431
102 151 92
132 149 91
132.222 149.444 90.6667
132.444 149.889 90.3333
132.667 150.333 90
132.889 150.778 89.6667
133.111 151.222 89.3333
133.333 151.667 89
133.556 152.111 88.6667
133.778 152.556 88.3333
134 153 88
